Unnamed: 0,164752,163431,163383,164218,164515,164138
2000-01-01,2728160.411342572,1259736.170919819,1088985.7041704466,1762909.5261349787,2646016.9588894895,832460.9910471672
2000-02-01,2867792.6070950367,1281312.108940199,1110371.5294202254,1789986.6557548326,2665863.073944978,824378.7609596251
2000-03-01,2844076.462849094,,1119058.7832565308,1811610.5176948018,2679282.7328385874,
2000-04-01,2786909.6497010267,1277913.4382683332,1111927.7805688188,1831033.9185212613,2684895.3814157974,
2000-05-01,2730740.92928852,1272374.845497206,1105139.0360832214,1846461.466023635,,823126.9801515883
2000-06-01,2703996.2046214547,1266914.14704576,,1859199.3904764652,,821812.0901412964
2000-07-01,2826838.6800176795,1261076.8079655645,,1868691.7370777708,,
2000-08-01,2955874.324837448,1255808.5508346197,,1875849.0560420235,,828872.5977119766
2000-09-01,2954911.56576527,1252673.2344083746,1102967.5328941343,1880593.749610733,,844350.5182170833
2000-10-01,2952297.3630948695,1251214.8566463008,,1883157.0159917476,,859285.3558914613
2000-11-01,2948092.530903675,1249907.6762194522,,1883987.4667181869,,866345.8634621414
2000-12-01,2942793.386316711,1248817.1850204475,,1881749.581844355,,862337.5313862591
2001-01-01,2936281.747283636,1247850.9992694291,,1875044.4678262854,,851900.9208845369
2001-02-01,2924150.9499316104,1247028.0953029657,,1864349.0143630658,,838327.4101706622
2001-03-01,2905536.8202955765,1246391.1582955678,,1851657.6347544806,,826113.1638681928
2001-04-01,2878533.8828950617,1245785.0766589446,,1834692.2893423734,,815676.5533664708
2001-05-01,2848065.320662689,1245279.2706349257,,1815795.3190868248,,811668.2212905885
2001-06-01,2810596.0463127308,1244820.3354553191,1016518.7903022766,1794173.5798210565,2684130.6147870524,
2001-07-01,2759691.072946931,1244419.0375129213,,1771668.7142645998,2682161.3704999615,
2001-08-01,2682486.262058258,1244028.939244982,,1747247.0518972832,2679210.406082587,
2001-09-01,2505070.8431024887,1243643.8130781706,,1722113.933659901,2675688.18975115,812293.5767194285
2001-10-01,,1243256.7950516026,1025816.4958541682,1697565.7609219868,2671024.7818377833,813637.4661369324
2001-11-01,2364828.141052246,1242822.3995969167,1048986.3729111443,1672432.6426846047,2663834.847325096,816322.7059898376
2001-12-01,2371797.8961163056,1242349.8098988498,1075910.1047273236,1648782.7622461002,2654482.915375112,
2002-01-01,2391547.262451254,1241787.8356109404,1099373.7488887042,1625506.1147608312,2642241.747015253,
2002-02-01,2420835.158521836,1241131.0155865913,1109251.868434906,1603884.375495063,2627275.341022244,
