Unnamed: 0,resid,factor,accuracy_min,accuracy_norm
0,2621.0,2.388059701492537,31.0,1.0
1,2610.0,3.081761006289308,31.0,1.0
2,2609.0,4.857142857142857,31.0,1.0
3,2614.0,2.810457516339869,5.0,1.0
4,2619.0,2.809917355371901,31.0,1.0
5,3188.0,1.4563106796116503,31.0,1.0
